count_overdue_filed_since_pandemic,count_overdue,count_filed_since_pandemic,mean_days_overdue,overdue_mean_days_since_inspection,pre_pandemic_resolved_count,pre_pandemic_mean_resolution_days,count_resolved_during_pandemic,count_resolved_filed_since_pandemic,count_overdue_a,count_overdue_b,count_overdue_c,max_overdue,buildingid,borough,boroid,registrationid,housenumber,lowhousenumber,highhousenumber,streetcode,streetname,postcode,apartment,story,block,lot,bin,bbl,nta,total_violations
44,52,47,95,147,0,0,0,1,6,32,14,519,42787,,1,114613,611,611,611,36930,WEST 158 STREET,10032,4B,4,2136,7,1063304,1021360007,Washington Heights South,59
44,84,53,158,215,35,13,0,2,10,44,30,530,81791,,2,203384,2250,2250,2250,36420,GRAND CONCOURSE,10457,17,5,3158,14,2013721,2031580014,Fordham South,194
44,63,45,164,247,0,0,0,1,35,15,13,563,148344,,3,340092,1115,1115,1115,8580,40 STREET,11218,3R,3,5585,68,3135338,3055850068,Borough Park,65
44,44,74,46,82,0,0,0,2,0,21,23,93,118980,,2,212720,3209,3209,3209,72620,WALLACE AVENUE,10467,2R,2,4598,24,2056280,2045980024,Williamsbridge-Olinville,75
44,53,87,64,106,22,47,4,12,7,22,24,398,119640,,2,208808,1088,1088,1088,73120,WASHINGTON AVENUE,10456,2D,2,2371,1,2001283,2023710001,Morrisania-Melrose,121
44,80,141,128,175,247,15,106,33,7,35,38,517,81402,,2,205437,1631,1631,1631,36320,GRAND AVENUE,10453,E4,5,2866,20,2008451,2028660020,University Heights-Morris Heights,425
43,176,92,250,309,242,3,5,6,26,90,60,588,808705,,3,374310,765,765,765,55930,LINCOLN AVENUE,11208,9P,9,4271,9001,3343260,3042719001,East New York,530
43,57,83,61,114,2,32,0,0,0,35,22,270,312618,,3,347890,230,230,230,49930,HIGHLAND PLACE,11208,3L,3,3958,46,3088165,3039580046,East New York,99
43,121,87,217,263,80,21,16,14,5,65,51,560,321004,,3,304948,451,451,451,54070,KINGSTON AVENUE,11225,14E,5,1326,1,3035200,3013260001,Crown Heights South,253
43,67,84,130,187,36,51,7,9,8,37,22,518,104327,,2,206428,1388,1388,1388,59520,PROSPECT AVENUE,10459,BASEME,Basement,2971,18,2010390,2029710018,Crotona Park East,152
43,43,67,64,134,0,0,0,1,14,21,8,165,146095,,3,346977,229,229,229,7480,23 STREET,11232,,Yards / Courts,646,50,3009465,3006460050,Sunset Park West,69
42,47,70,71,112,8,18,5,5,0,24,23,567,225119,,3,308251,3142,3142,3152,28830,CONEY ISLAND AVENUE,11235,A6,1,8678,66,3245013,3086780066,Brighton Beach,84
42,45,160,49,92,422,2,33,31,0,24,21,507,81696,,2,202861,1420,1412,1448,36420,GRAND CONCOURSE,10456,6A,6,2832,8,2007988,2028320008,East Concourse-Concourse Village,590
42,42,84,21,62,0,0,0,0,0,28,14,68,219657,,3,0,144,144,144,26030,CHESTNUT STREET,11208,2NDFLO,2,4127,32,3092101,3041270032,Cypress Hills-City Line,84
42,42,61,33,78,0,0,0,1,0,34,8,75,298404,,3,360459,668A,668A,668B,42730,FULTON STREET,11217,4,4,2114,17,3059273,3021140017,Fort Greene,61
42,56,50,155,212,5,17,0,1,9,32,15,591,130269,,3,338894,235,235,235,5580,5 AVENUE,11215,,1,959,4,3020277,3009590004,Park Slope-Gowanus,69
